Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans,10,859,489,349,66,167,5,203,1254,166,1062
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\dao,1,116,81,68,9,15,0,20,124,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\parsers,1,83,41,36,2,16,0,26,154,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\services,13,3087,2108,1638,227,361,2,618,3027,217,1389
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\utils,7,1052,629,458,28,110,1,313,1764,83,538
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy,15,1674,1085,883,73,227,0,362,2117,238,1526
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\beans,3,221,116,83,14,43,0,62,379,51,327
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\interfaces,4,136,20,16,0,14,0,102,630,68,436
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\utils,3,624,475,407,38,78,0,71,359,34,218
