File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\NotificationBeanWrapper.java,48,19,14,2,9,0,20,123,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\PasswordPolicyBeanWrapper.java,48,19,14,2,9,0,20,123,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\WebClipBeanWrapper.java,48,19,14,2,9,0,20,123,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\DisenrollmentBeanWrapper.java,45,19,14,2,9,0,17,109,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\CameraBeanWrapper.java,48,19,14,2,9,0,20,123,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\WifiBeanWrapper.java,48,19,14,2,9,0,20,123,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper\LockCodeBeanWrapper.java,48,19,14,2,9,0,20,123,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\util\AndroidConstants.java,117,86,67,0,11,0,20,119,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\util\DeviceIDHolder.java,49,19,14,2,10,0,20,120,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\util\AndroidAPIUtils.java,221,176,132,27,24,0,21,129,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\util\Message.java,89,52,37,8,17,0,20,120,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\util\AndroidDeviceUtils.java,99,61,44,10,18,0,20,121,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\common\ErrorMessage.java,42,17,12,2,8,0,17,109,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\common\ErrorHandler.java,35,13,11,1,5,0,17,109,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\common\GsonMessageBodyHandler.java,98,64,46,7,17,0,17,109,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java\org\wso2\emm\system\service\ApplicationTest.java,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\EMMSystemService.java,199,128,95,15,22,0,49,273,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\api\OTAServerConfig.java,152,105,83,12,23,0,24,159,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\api\OTADownload.java,180,121,92,15,32,0,27,191,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\api\NetworkConnectedReceiver.java,88,51,41,5,9,0,28,170,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\api\OTAServerManager.java,389,295,242,34,56,0,38,262,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\api\BuildPropParser.java,167,124,99,17,21,0,22,140,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\utils\Constants.java,52,23,20,0,6,0,23,127,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\IDPTokenManagerException.java,48,19,13,0,9,0,20,120,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\APIController.java,134,80,62,4,20,0,34,196,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\AccessTokenHandler.java,169,126,108,4,18,0,25,145,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\IdentityProxy.java,181,132,100,9,22,0,27,162,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\RefreshTokenHandler.java,161,117,94,4,23,0,21,126,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\beans\Token.java,74,38,27,4,15,0,21,134,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\beans\EndPointInfo.java,66,33,24,4,13,0,20,121,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\beans\CredentialInfo.java,81,45,32,6,15,0,21,124,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\interfaces\TokenCallBack.java,30,5,4,0,3,0,22,137,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\interfaces\APIAccessCallBack.java,28,4,3,0,2,0,22,143,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\interfaces\APIResultCallBack.java,30,5,4,0,3,0,22,143,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\interfaces\CallBack.java,48,6,5,0,6,0,36,207,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\utils\Constants.java,63,40,40,0,3,0,20,122,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\utils\ServerUtilities.java,500,400,342,35,67,0,33,173,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\iDPProxy\src\main\java\org\wso2\emm\agent\proxy\utils\StreamHandlerUtil.java,61,35,25,3,8,0,18,64,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\NotifyActivity.java,69,40,31,5,8,0,21,130,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\AlreadyRegisteredActivity.java,486,367,256,43,61,0,58,216,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\PinCodeActivity.java,330,267,178,25,41,0,22,132,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\AuthenticationErrorActivity.java,130,87,64,13,19,0,24,136,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\AlertActivity.java,178,123,97,9,22,0,33,173,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\ServerDetails.java,241,186,137,17,26,0,29,165,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\DisplayDeviceInfoActivity.java,147,106,70,11,21,0,20,117,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\GCMBroadcastReceiver.java,39,16,13,0,3,0,20,122,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\GCMRegistrationManager.java,205,124,93,14,24,0,57,311,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\AndroidAgentException.java,48,19,13,0,9,0,20,120,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\RegistrationActivity.java,314,231,162,15,33,0,50,279,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\GCMIntentService.java,49,17,13,0,8,0,24,155,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\AuthenticationActivity.java,865,670,452,48,106,0,89,413,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\parsers\PayloadParser.java,83,41,36,2,16,0,26,154,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\Notification.java,80,44,29,5,16,5,20,165,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\DeviceAppInfo.java,70,38,27,5,12,0,20,119,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\AppData.java,46,18,13,1,8,0,20,115,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\RegistrationProfile.java,90,51,37,7,19,0,20,119,16,102
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\ComplianceFeature.java,53,24,17,3,9,0,20,117,16,102
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\ServerConfig.java,85,53,38,12,12,0,20,119,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\UnregisterProfile.java,56,25,18,3,11,0,20,119,16,102
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\Device.java,135,83,59,10,31,0,21,127,16,102
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\Operation.java,135,87,64,11,28,0,20,118,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\beans\Power.java,109,66,47,9,21,0,22,136,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\dao\NotificationDAO.java,116,81,68,9,15,0,20,124,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\DeviceInfo.java,168,74,55,14,22,0,72,317,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\ShellExecutor.java,78,41,29,5,11,0,26,153,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\ApplicationManager.java,270,182,143,15,31,0,57,345,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\GPSTracker.java,147,93,59,14,17,0,37,184,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\RuntimeInfo.java,204,157,142,12,25,0,22,159,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\Root.java,90,43,33,13,8,0,39,232,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\DeviceState.java,295,193,150,42,21,0,81,385,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\api\WiFiConfig.java,138,83,69,13,17,0,38,213,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\services\AlarmReceiver.java,50,22,17,1,8,0,20,124,17,109
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\client\client\src\main\java\org\wso2\emm\agent\services\LocalNotification.java,70,44,33,3,5,0,21,132,17,109
